id,customer_area_id,name,deleted
1168,1897,ALMACEN,0
1169,1901,"SE PLANTA SUZUKI PEREIRA",0
1170,1902,CHILCA,0
1171,1903,"CAJAMARCA NORTE",0
1172,1909,CHANCAY,0
1173,1911,DESIERTO,0
1174,1678,"SE CHIMBOTE 1",1
1175,1678,"ABANCAY NUEVA",1
1176,1678,"SE INDEPENDENCIA",1
1177,1710,"SET VILLA MARIA",0
1178,1919,"SE ZONA FRANCA",0
1179,1920,"SE PLANTA DE GENERACION",0
1180,1727,"MAGNETO 32",0
1181,1727,"ALMACEN-DEPOSITO DE MOTORES",0
1182,1727,"SALA 74",0
1183,1727,"S.E. SALA 73",0
1184,1727,"S.E. SOPLADORES 1",0
1185,1727,AQP,0
1186,1727,-,0
1187,1727,"S.E. Tranformador 22.9/0.22 KV",0
1188,1727,"SE Sala 11 C1",0
1189,1727,"SE SALA 8",0
1190,1727,"MAGNETO 4",0
1191,1727,Arequipa,0
1192,1727,Chancado,0
1193,1727,"Almacén Patio",0
1194,1727,"Nvas. Ofic. Óvalo China",0
1195,1727,"S.E. Sala 12",0
1196,1727,MAGNETO-004,0
1197,1727,"S.E CERRO VERDE",0
1198,1727,"S.E SULFUROS",0
1199,1727,"MAGNETO 014",0
1200,1727,"ALMACEN SAN LUIS",0
1201,1727,"S.E SALA 19",0
1202,1727,MATARANI,0
1203,1727,"S.E SALA 11",0
1204,1727,"S.E ESTACIÓN BOMBAS",0
1205,1727,"S.E Molino 3",0
1206,1727,"S.E SALA1",0
1207,1727,"SUBESTACION SULFUROS",0
1208,1727,"CHANCADO PRIMARIO S1",0
1209,1727,C-3230-XF-1031A-CP,0
1210,1727,C-3230-XF-1031B-CP,0
1211,1727,C3230-XF-1032B-CP,0
1212,1727,C-3230-XF-1032A-CP,0
1213,1727,"SE. ER-163",0
1214,1727,"SE. ELECTRICA TRANSFORMADOR",0
1215,1727,"S.E Electrica Transformador",0
1216,1727,"SE MOVIL62",0
1217,1727,"OFICINAS RELAVES",0
1218,1727,"OFICINA RELAVES",0
1219,1727,"MOVIL 62",0
1220,1727,"S.E. SALA 76 AH",0
1221,1727,"S.E. SALA 10 C1",0
1222,1712,"NV 3815 ESPAÑOLA(MINA)",0
1223,1712,"EC16 ESTACION DE BOMBA",0
1224,1712,"R2 RETAMAS",0
1225,1712,"NV1835 ESPAÑOLA(MINA)",0
1226,1712,"PLANTA MOLINO",0
1227,1712,"CC-21NV 2670 RAMPA PATRICK",0
1228,1712,"OFICINAS CONTRATAS",0
1229,1712,LLACUBAMBA,0
1230,1712,"SUB ESTACION N°190",0
1231,1712,"CASA BLANCA SUB ESTACION N°190",0
1232,1712,"BUENOS AIRES",0
1233,1712,"SAN VICENTE",0
1234,1712,"P.B /RELAVES DEGRADACIÓN",0
1235,1712,"DECANTER RELAVES",0
1236,1712,"CC-42 NV.2220",0
1237,1712,"CC-28 NV.2520",0
1238,1712,"CC-33 NV.2420 RAMPA PATRICK",0
1239,1712,"CC-39 NV 2270 RAMPA PATRICK",0
1240,1712,"CC-31 RAMPA PATRICK",0
1241,1712,"CC-37 NV.2320 RAMPA PATRICK",0
1242,1712,"CC-30 NV.2470",0
1243,1712,"P. B. / RELAVES CIANURACION",0
1244,1712,"P. B. / RELAVES FLOTACION",0
1245,1712,"ESPAÑOLA - NV 3815",0
1246,1712,"CC-41 NV. 2220",0
1247,1712,"CC-43A NV.2120",0
1248,1712,"NV.3220 PIQUE ANDRES",0
1249,1712,"CC-08 NV.2950 RB N°11",0
1250,1712,"CC-08 NV.2950 CASA GERENCIA",0
1251,1712,"CC-28 NV. 2520 RAMPA PATRICK",0
1252,1712,"CC-43B NV.2170 - RP 9143",0
1253,1712,"CC-12 NV.2870",0
1254,1712,LLACUABAMBA,0
1255,1712,"EX GOYO (LINEA Y LUCHITO",0
1256,1712,"INCLINADOS NV: 2950 CABANA",0
1257,1712,"INGRESO CABANA NV.2870",0
1258,1712,"CC-14 NV.2820",0
1259,1712,"CAMPAMENTO MINERO",0
1260,1712,-,0
1261,1712,"R.P 320 LAS CHILCAS",0
1262,1712,"CC.23 ESTACIÓN BOMBEO",0
1263,1712,"CC. 23 NV 2620 RP CHANCACO",0
1264,1712,"CC 21 NV 2670 CAL 10299",0
1265,1712,PLATAFORMA,0
1266,1712,"PLANTA PETAR",0
